0,36.16,36.66,39.48,31.53,,,,,,,
1,35.9,36.6,39.47,32.01,,,,,,,
2,36.09,36.53,39.51,33.19,,,,,,,
3,36.14,36.69,39.25,32.57,,,,,,,
4,36.03,36.69,39.39,32.99,,,,,,,
5,35.92,36.51,39.6,32.38,,,,,,,
6,35.96,36.78,39.58,33.01,,,,,,,
7,36.25,36.97,39.44,30.96,,,,,,,
8,36.26,36.66,39.51,31.78,,,,,,,
9,36.15,36.62,39.84,31.39,,,,,,,
10,35.99,36.6,39.28,33.45,,,,,,,
11,36.34,36.43,39.22,31.62,,,,,,,
12,36.37,36.5,39.16,31.66,,,,,,,
13,36.28,36.46,38.81,31.57,,,,,,,
14,36.12,36.55,39.42,32.03,,,,,,,
15,36.15,36.59,39.5,32.66,,,,,,,
16,35.98,36.68,38.83,32.38,,,,,,,
17,36.39,36.39,39.35,31.4,,,,,,,
18,36.28,36.63,39,31.49,,,,,,,
19,36.29,36.57,38.93,32.03,,,,,,,
20,35.86,36.41,38.96,31.63,,,,,,,
21,36.06,36.79,39.55,31.72,,,,,,,
22,35.96,36.86,39.05,31.83,,,,,,,
23,36.25,36.67,39.36,31.43,,,,,,,
24,36.09,37,38.86,32.18,,,,,,,
25,36.34,36.41,39.05,30.63,,,,,,,
26,36.35,36.54,39.19,31.84,,,,,,,
27,35.95,36.65,39.38,30.7,,,,,,,
28,35.98,36.4,38.87,32.73,,,,,,,
29,36.19,36.53,38.9,31.19,,,,,,,
30,36.46,36.63,39.08,31.27,,,,,,,
31,36.28,36.44,38.99,31.43,,,,,,,
32,36.29,36.53,38.82,31.47,,,,,,,
33,36.08,36.46,38.88,32.33,,,,,,,Tiempo en llegar a convergencia
34,36.23,36.41,39.38,30.79,,,26.4,Primer sensor más bajo,,,Más bajo
35,36.47,36.27,38.87,31.85,,,,Segundo sensor medio alto,,,Medio alto
36,36.02,36.5,39.1,30.62,,,,Tercer sensor más alto,,,Más alto
37,36.22,36.43,38.83,32.19,,,,Cuarto sensor medio bajo,,,Medio bajo
38,36.18,36.45,38.85,30.39,,,,,,,
39,36.08,36.28,38.55,31.26,,,,,,,
40,36.08,36.52,38.86,31.73,,,,,,,
41,36.3,36.55,39.15,31.9,,,,,,,
42,36.33,36.58,38.77,31.88,,,,,,,
43,35.99,36.54,38.69,32.49,,,,,,,
44,36.13,36.24,38.84,30.54,,,,,,,
45,36.13,36.37,39.02,30.32,,,,,,,
46,36.32,36.62,38.37,30.68,,,,,,,
47,36.07,36.05,38.59,32.08,,,,,,,
48,36.36,36.59,38.2,31.81,,,,,,,
49,36.13,36.42,38.71,31.39,,,,,,,
50,36.1,36.42,39.01,31.15,,,,,,,
51,35.97,36.62,38.87,31.79,,,,,,,
52,36.11,36.42,38.81,30.93,,,,,,,
53,36.07,36.57,38.7,31.02,,,,,,,
54,35.97,36.36,38.59,30.96,,,,,,,
55,36.04,36.51,38.8,30.82,,,,,,,
56,36.35,36.17,38.96,31.56,,,,,,,
57,36.12,36.53,38.2,32.47,,,,,,,
58,35.98,36.12,38.44,31.19,,,,,,,
59,36.28,36.42,38.53,31.14,,,,,,,
60,36.3,36.4,38.82,31.13,,,,,,,
61,36.07,36.15,38.58,30.88,,,,,,,
62,36.2,36.41,39.28,31.17,,,,,,,
63,36.16,36.56,39.25,31.62,,,,,,,
64,36.34,36.67,39.48,30.29,,,,,,,
65,36.12,36.45,40.42,32.23,,,,,,,
66,36.2,36.87,40.34,32.39,,,,,,,
67,36.22,36.65,40.94,32.88,,,,,,,
68,36.2,37.17,40.66,32.22,,,,,,,
69,36.7,37.22,41.45,32.18,,,,,,,
70,36.31,37.56,41.65,32.34,,,,,,,
71,36.66,37.27,42.17,33.61,,,,,,,
72,36.41,37.52,42.44,32.85,,,,,,,
73,36.5,37.89,43.08,33.79,,,,,,,
74,36.48,37.65,43.27,32.89,,,,,,,
75,36.78,37.78,43.69,33.47,,,,,,,
