0, 32.51
1, 32.63
2, 32.68
3, 32.56
4, 32.37
5, 32.56
6, 32.43
7, 32.67
8, 32.35
9, 32.26
10, 32.36
11, 32.36
12, 32.38
13, 32.39
14, 32.49
15, 32.43
16, 32.3
17, 32.3
18, 32.5
19, 32.15
20, 32.52
21, 32.7
22, 32.69
23, 32.53
24, 32.32
25, 32.61
26, 32.13
27, 32.26
28, 32.54
29, 32.5
30, 32.3
31, 32.3
32, 32.39
33, 32.34
34, 32.2
35, 32.12
36, 32.49
37, 32.24
38, 32.26
39, 31.99
40, 32.34
41, 32.23
42, 32.03
43, 32.01
44, 32.27
45, 32.32
46, 32.22
47, 32.33
48, 32.32
49, 32.14
50, 32.32
51, 32.15
52, 32.13
53, 32.16
54, 32
55, 32.07
56, 32.1
57, 32.29
58, 32.27
59, 32.28
60, 32.13
61, 32.46
62, 32.33
63, 32.03
64, 32
65, 31.97
66, 31.82
67, 32.33
68, 32.06
69, 32.2
70, 32.02
71, 32.16
72, 32.17
73, 31.97
74, 32.11
75, 32.12
76, 32.01
77, 32.09
78, 32.16
79, 32.13
80, 32.05
81, 32.08
82, 32.13
83, 32.16
84, 32.17
85, 32.16
86, 32
87, 31.89
88, 31.71
89, 31.73
90, 32.09
91, 31.99
92, 31.91
93, 32.17
94, 32.02
95, 31.86
96, 32.16
97, 31.94
98, 31.93
99, 31.86
100, 32.04
101, 31.93
102, 31.94
103, 31.85
104, 31.92
105, 31.83
106, 31.84
107, 31.79
108, 31.87
109, 32
110, 31.88
111, 31.6
112, 31.81
113, 31.97
114, 31.9
115, 31.72
116, 31.73
117, 31.9
118, 31.56
119, 31.97
120, 31.87
121, 31.74
122, 31.94
123, 31.92
124, 31.6
125, 31.67
126, 31.71
127, 31.68
128, 31.73
129, 31.8
130, 31.62
131, 31.43
132, 31.43
133, 31.61
134, 31.57
135, 31.71
136, 31.64
137, 31.67
138, 31.72
139, 31.8
140, 31.57
141, 31.5
142, 31.66
143, 31.59
144, 31.85
145, 31.94
146, 31.86
147, 31.6
148, 31.62
149, 31.76
150, 31.71
151, 31.69
152, 31.84
153, 31.62
154, 31.42
155, 31.29
156, 31.74
157, 31.57
158, 31.39
159, 31.88
160, 31.49
161, 31.31
162, 31.52
163, 31.56
164, 31.4
165, 31.31
166, 31.19
167, 31.4
168, 31.3
169, 31.22
170, 31.5
171, 31.34
172, 31.34
173, 31.22
174, 31.2
175, 31.66
176, 31.35
177, 31.65
178, 31
179, 31.52
180, 31.55
181, 31.73
182, 31.43
183, 31.42
184, 31.31
185, 31.71
186, 31.27
187, 31.99
188, 31.21
189, 31.57
190, 31.11
191, 31.73
192, 31.42
193, 31.36
194, 31.18
195, 31.38
196, 31.29
197, 31.44
198, 31.39
199, 31.48
200, 31.34
201, 31.61
202, 31.84
203, 32.25
204, 31.97
205, 32.17
206, 32.33
207, 32.58
208, 32.46
209, 32.87
210, 33.06
211, 33.45
212, 33.28
213, 33.32
214, 33.33
215, 33.67
216, 33.89
217, 34.05
218, 34.1
219, 34.33
220, 34.51
221, 34.75
222, 34.66
223, 34.69
224, 35.15
225, 34.96
226, 35.06
227, 35.39
228, 35.36
229, 35.67
230, 35.67
231, 35.87
232, 36.07
233, 36.38
234, 36.39
235, 36.7
236, 36.97
237, 36.86
238, 37.07
239, 37.15
240, 37.21
241, 37.45
242, 37.57
243, 37.62
244, 37.88
245, 37.94
246, 37.81
247, 38.06
248, 38.48
249, 38.45
250, 38.74
251, 38.51
252, 38.86
253, 39.01
254, 39.17
255, 39.19
256, 39.4
257, 39.48
258, 39.6
259, 39.93
260, 40.36
261, 40.26
262, 40.41
263, 40.72
264, 40.61
265, 40.72
266, 40.78
267, 41.14
268, 41.08
269, 41.33
270, 41.51
271, 41.62
272, 41.76
273, 41.8
274, 41.83
275, 42.07
276, 42.35
277, 42.38
278, 42.23
279, 42.53
280, 42.64
281, 42.76
282, 43.03
283, 43.31
284, 43.28
285, 43.8
286, 43.97
287, 43.76
288, 43.49
289, 43.93
290, 44.23
291, 44.45
