0, 25.79, 26.35, 29.37, 30.83
1, 25.28, 26.51, 29.42, 30.52
2, 25.4, 26.63, 29.5, 29.83
3, 25.08, 26.92, 29.31, 28.87
4, 25.7, 26.9, 29.31, 29.7
5, 28.11, 27.53, 29.72, 29.05
6, 32.45, 29.18, 29.22, 29.57
7, 34.17, 31.61, 28.85, 28.86
8, 35.59, 34.37, 32.91, 28.99
9, 35.77, 35.59, 36.85, 31.28
10, 36.01, 36.46, 37.87, 32.7
11, 36.16, 36.42, 38.92, 34.29
12, 36.16, 36.4, 39.91, 34.48
13, 36.26, 36.68, 40.42, 35.74
14, 36.01, 36.55, 39.82, 35.8
15, 35.99, 36.5, 39.85, 36.26
16, 36.17, 36.6, 39.14, 36.61
17, 36.16, 36.39, 39.99, 35.41
18, 36, 36.38, 39.87, 35.62
19, 34.81, 34.16, 40.64, 34.85
20, 31.81, 31.08, 36.92, 31.52
21, 30.43, 29.76, 34.63, 31.32
22, 29.55, 29, 33.9, 30.7
23, 28.6, 28.2, 33.46, 30.75
24, 28.12, 27.52, 32.95, 31.02
25, 27.91, 27.61, 33.01, 29.95
26, 27.89, 27.5, 31.98, 30.52
27, 27.53, 28.06, 32.01, 30.32
28, 27.35, 27.75, 32.18, 29.67
29, 27.67, 27.58, 32.16, 30.37
30, 27.76, 27.53, 31.73, 29.52
31, 27.79, 27.77, 32.12, 30.22
32, 27.45, 27.95, 31.94, 30.45
33, 27.41, 27.94, 32.43, 31.51
34, 27.41, 27.69, 32.34, 30.56
35, 27.43, 27.82, 32.27, 31
36, 27.45, 27.95, 31.97, 31.18
37, 27.42, 27.95, 32.39, 31.81
38, 27.97, 28.02, 32.11, 31.4
39, 28.75, 28.59, 32.63, 31.8
40, 29.4, 28.31, 32, 33.19
41, 31.96, 28.89, 32.02, 31.34
42, 33.59, 29.66, 32.52, 31.57
43, 33.7, 31.19, 32.41, 30.47
44, 34.97, 33.19, 33.08, 32.73
45, 35.22, 33.94, 32.96, 31.56
46, 33.98, 32.64, 33.25, 31.42
47, 30.89, 31.13, 32.99, 32.35
48, 29.07, 29.67, 32.25, 32.2
49, 28.39, 28.65, 32.35, 31.79
50, 29.28, 31.49, 33.7, 33.67
51, 28.61, 30.87, 34.21, 33.41
52, 28.14, 30.5, 34.21, 33.38
53, 27.97, 30.02, 34.29, 33.85
54, 27.77, 29.62, 33.77, 32.5
55, 27.31, 29.44, 33.53, 32.48
56, 27.59, 29.15, 33.24, 32.8
57, 27.47, 28.71, 32.84, 32.69
58, 27.12, 28.86, 33.52, 33.43
59, 27.34, 28.47, 32.5, 32.43
60, 27.32, 28.74, 33.42, 32.06
61, 26.93, 28.46, 33.28, 31.6
62, 27.09, 28.42, 33.36, 30.9
63, 27.33, 28.14, 32.67, 31.94
64, 27.18, 28.19, 32.8, 32.21
65, 27.63, 28.03, 32.11, 32.14
66, 27.59, 28.48, 33.17, 32.53
67, 27.6, 28.56, 33.48, 31.01
68, 27.67, 28.28, 32.99, 31.78
69, 28.8, 28.38, 32.81, 31.35
70, 31.25, 28.95, 32.68, 31.63
71, 32.75, 30.31, 32.79, 31.69
72, 34.49, 32.91, 32.92, 31.59
73, 35.55, 34.79, 33.32, 31.24
74, 35.57, 35.49, 35.71, 30.8
75, 35.87, 35.92, 35.71, 31.61
76, 35.96, 36.45, 37.42, 31.64
77, 35.85, 36.57, 37.6, 33.55
78, 35.89, 36.51, 38.21, 32.8
79, 35.83, 36.68, 39.19, 34.1
80, 36.11, 36.6, 39.33, 34.2
81, 35.83, 36.64, 39.64, 34.43
82, 35.97, 36.64, 39.43, 33.9
83, 35.88, 36.48, 39.95, 34.47
84, 36.12, 36.65, 39.88, 34.67
85, 36.2, 36.54, 40.05, 35.08
86, 36.05, 36.65, 39.51, 34.53
87, 36.12, 36.25, 39.57, 34.7
88, 36.18, 36.59, 39.71, 34.52
89, 35.96, 36.48, 39.23, 34.57
90, 36.07, 36.63, 40.1, 35.03
91, 36.13, 36.68, 39.77, 36.1
92, 36.06, 36.34, 40.07, 35.1
93, 35.98, 36.65, 40.08, 35.57
94, 36, 36.63, 39.48, 35.41
95, 36.25, 36.28, 39.5, 35.25
96, 36.16, 36.53, 39.96, 35.93
97, 36.27, 36.63, 39.68, 34.47
98, 35.91, 36.55, 39.68, 33.78
99, 35.96, 36.36, 39.62, 34.54
100, 35.82, 36.76, 39.44, 35.23
101, 35.58, 36.29, 39.33, 35.91
102, 35.94, 36.3, 39.56, 34.55
103, 35.97, 36.59, 40.49, 34.84
104, 36.1, 36.58, 40.38, 34.58
105, 36.24, 36.67, 39.62, 34.83
106, 36.18, 36.46, 39.65, 34.47
107, 36.1, 36.33, 39.75, 35.57
108, 35.63, 36.69, 39.92, 34.94
109, 35.87, 36.51, 39.74, 34.11
110, 35.98, 36.67, 39.65, 35.28
111, 36.09, 36.7, 39.69, 34.32
112, 36.07, 36.35, 40.05, 34.62
113, 35.82, 36.57, 39.68, 34.36
114, 36.05, 36.46, 39.66, 34.81
115, 35.91, 36.79, 39.39, 35.46
116, 35.82, 36.69, 39.78, 34.86
117, 36, 36.44, 39.44, 34.66
118, 35.78, 36.31, 39.51, 34.14
119, 35.94, 36.95, 39.7, 34.91
120, 36.14, 36.61, 39.29, 34.73
121, 35.99, 36.61, 39.47, 34.96
122, 35.93, 36.21, 39.76, 34.81
123, 35.94, 36.69, 39.73, 34.64
124, 36.19, 36.53, 39.82, 35.4
125, 35.78, 36.25, 39.97, 34.64
126, 35.79, 36.34, 40.06, 33.63
127, 36.09, 36.38, 39.97, 33.84
128, 36.09, 36.51, 39.88, 34.89
129, 35.97, 36.75, 39.37, 34.06
130, 35.85, 36.6, 39.87, 34.24
131, 35.89, 36.67, 39.76, 33.7
132, 35.77, 36.3, 39.6, 34.15
133, 35.9, 36.52, 39.9, 34.62
134, 36.03, 36.58, 39.84, 34.99
135, 35.95, 36.48, 39.4, 34.01
136, 36.06, 36.48, 39.54, 34.37
137, 36.02, 36.58, 39.14, 33.8
138, 35.8, 36.19, 39.7, 35.54
139, 35.9, 36.28, 40.12, 34.69
140, 36.14, 36.46, 39.32, 35.2
141, 36.14, 36.39, 40.14, 34.77
142, 36.19, 36.46, 39.94, 34.41
143, 35.62, 36.26, 39.82, 34.37
144, 35.69, 36.39, 39.95, 33.77
145, 36, 36.49, 40.69, 33.9
146, 36.2, 36.41, 40.18, 34.21
147, 35.94, 36.38, 41.17, 35.43
148, 36.05, 36.35, 41.38, 36.71
149, 35.95, 36.78, 41.61, 34.4
150, 35.97, 36.77, 41.87, 35.55
151, 35.95, 36.79, 41.84, 36.62
152, 36.23, 36.92, 42.6, 35.46
153, 36.17, 36.87, 43.02, 36.06
154, 36.2, 36.78, 43.18, 37.63
155, 36.47, 36.96, 43.37, 37.1
156, 36.13, 36.61, 44.3, 37.14
157, 36.3, 36.82, 44.07, 37.42
158, 36.13, 36.92, 44.34, 37.6
159, 36.52, 37.35, 44.8, 39.02
160, 36.44, 37.16, 44.55, 38.97
161, 36.04, 37, 44.85, 39.65
162, 36.48, 37.52, 45.15, 39.66
163, 36.73, 37.16, 45.81, 39.52
164, 36.62, 37.29, 46.27, 39.09
165, 36.63, 37.38, 46.91, 39.82
166, 36.92, 37.31, 47.31, 41.92
167, 36.62, 37.38, 46.53, 41.95
168, 36.5, 37.65, 47.29, 42.14
169, 37, 37.51, 48.19, 42.65
170, 36.96, 37.7, 48, 43.46
171, 36.6, 38.05, 49.06, 43.73
172, 36.56, 37.95, 49.46, 44.51
173, 37.02, 38, 50.13, 43.58
174, 36.83, 37.95, 50.55, 45.09
175, 37.11, 38.03, 50.86, 45.44
176, 37.33, 38.09, 51.04, 45.94
177, 37.35, 38.15, 51.06, 45.84
178, 37.43, 38.01, 51.93, 47.67
179, 37, 38.39, 52.17, 49.18
180, 37.33, 38.5, 52, 49.82
