0, 31.89, 32.22, 34.94, 31.37
1, 32.03, 32.47, 35.21, 30.53
2, 32.09, 32.47, 35.25, 30.61
3, 31.84, 32.4, 35.3, 31.39
4, 32.28, 32.43, 35.22, 31.64
5, 32.23, 32.27, 35.65, 30.99
6, 31.91, 32.26, 35.41, 31.45
7, 31.81, 32.43, 36.06, 30.58
8, 32.08, 32.4, 35.73, 31.59
9, 31.96, 32.43, 35.62, 32.11
10, 31.95, 32.36, 35.88, 30.77
11, 32.04, 32.11, 35.52, 31.13
12, 32.08, 32.11, 34.99, 30.9
13, 32.06, 32.5, 34.99, 31.41
14, 32.14, 32.45, 34.15, 31.03
15, 31.7, 32.38, 35.37, 31.23
16, 31.86, 32.35, 35.43, 30.99
17, 31.93, 32.41, 35.82, 31.02
18, 31.84, 32.66, 35.6, 30.28
19, 32.26, 32.66, 36.08, 31.23
20, 32.04, 32.91, 36.95, 31.6
21, 32.05, 33.13, 36.29, 31.51
22, 32.05, 33.43, 36.65, 32.41
23, 32.47, 33.58, 37.64, 32.56
24, 32.45, 33.38, 37.96, 33.43
25, 32.47, 33.89, 38.87, 32.96
26, 32.77, 33.81, 39.42, 32.74
27, 32.85, 34.22, 38.72, 33.24
28, 32.92, 34.21, 39.14, 33.87
29, 32.99, 34.39, 39.27, 34.66
30, 33.06, 34.93, 39.74, 34.03
31, 33.13, 34.75, 40.19, 35.41
32, 33.21, 35, 40.77, 35.56
33, 33.45, 35.43, 40.8, 35.96
34, 33.1, 35.58, 41.32, 35.44
35, 33.44, 35.61, 41.85, 36.51
36, 33.52, 35.71, 42.4, 37.15
37, 33.96, 36.07, 42.05, 37.52
38, 33.71, 35.81, 43.25, 37.86
39, 33.66, 36.58, 43.61, 38.35
40, 34.37, 36.83, 43.57, 37.94
41, 34.31, 36.74, 44.4, 38.4
42, 34.47, 37.15, 44.43, 39.48
43, 34.61, 37.35, 45.05, 41.4
44, 34.6, 37.68, 45.46, 40.79
45, 34.79, 37.95, 46.15, 41.97
46, 34.7, 38.06, 46.62, 42.51
47, 34.85, 38.68, 46.88, 41.95
48, 34.98, 39.36, 47.43, 42.51
49, 35.39, 39.86, 48.29, 43.25
50, 35.43, 39.9, 48.96, 43.73
51, 35.53, 39.83, 48.8, 44.38
52, 35.61, 40.27, 48.96, 45.2
53, 36.16, 40.65, 50.07, 45.88
54, 36.1, 40.44, 50.22, 46.36
55, 36.07, 40.72, 51.3, 46.19
56, 36.49, 41.09, 50.95, 47.04
57, 36.62, 41.31, 52.01, 48.95
58, 36.48, 41.75, 52.37, 48.93
59, 36.64, 41.77, 53.55, 50.63
60, 37.04, 41.98, 53.98, 50.65
61, 37.28, 42.01, 53.1, 51.95
62, 37.17, 42.9, 54.57, 52.68
63, 37.57, 42.73, 55.73, 52.22
64, 37.82, 43.14, 55.16, 54.03
65, 37.75, 43.54, 57.59, 53.92
66, 37.79, 43.8, 60.1, 54.6
67, 38.32, 43.82, 62.7, 55.7
68, 38.27, 44.2, 64.24, 57.07
69, 38.3, 44.7, 65.99, 57.86
70, 38.31, 44.8, 68.14, 59.26
71, 38.65, 45.06, 73.65, 59.32
72, 39, 45.23, 77.04, 61.57
73, 39.19, 45.53, 81.6, 62.4
74, 39.04, 46.2, 83.05, 63.07
75, 39.1, 46.64, 84.97, 63.24
76, 39.62, 47.27, 84.62, 64.58
77, 39.53, 47.95, 87.77, 66.3
78, 40.03, 48.28, 90.36, 71.04
79, 40.02, 48.91, 91.16, 70.97
80, 40.38, 49.22, 91.61, 74.54
81, 40.55, 50.37, 92.2, 75.15
82, 40.76, 50.75, 92.5, 76.02
83, 40.75, 50.93, 91.96, 77.02
84, 41.06, 51.61, 90.5, 77.47
85, 41.32, 52.01, 93.06, 79.36
86, 41.99, 52.74, 92.86, 78.8
87, 42.1, 52.79, 93.7, 80.05
88, 42.26, 53.75, 93.27, 79.57
89, 42.47, 53.8, 93.1, 79.92
90, 42.65, 54.72, 93.74, 79.87
91, 42.58, 55.38, 93.95, 82.2
92, 43.15, 56.47, 93.17, 83.48
93, 43.43, 56.84, 93.81, 84.36
94, 43.87, 57.45, 93.71, 82.59
95, 44.32, 57.8, 93.73, 84.12
96, 44.18, 58.37, 94.12, 84.85
97, 44.42, 58.66, 94.52, 85.21
98, 44.79, 58.98, 94.65, 86.05
99, 44.59, 59.6, 93.9, 86.04
100, 45.36, 60.41, 93.71, 85.23
101, 45.67, 65.45, 94.3, 85.81
102, 45.84, 75.79, 94.15, 84.75
103, 46.81, 78.96, 92.96, 85.8
104, 48.16, 79.91, 93.58, 85.37
105, 49.38, 81.18, 94.97, 86.01
106, 51.35, 81.87, 94.3, 85.19
107, 52.6, 82.34, 93.58, 86.11
108, 53.3, 82.46, 93.71, 87.15
109, 53.87, 82.34, 94.16, 86.96
110, 54.23, 83.1, 94.03, 87.49
111, 54.03, 83.54, 94.25, 87.32
112, 55.55, 84.13, 94.07, 87.89
113, 56.37, 84.21, 93.83, 87.29
114, 56.32, 83.88, 93.61, 88.61
115, 56.85, 84.43, 94.63, 88.37
116, 56.75, 83.76, 93.62, 87.79
117, 57.04, 81.65, 93.02, 87.81
118, 57.11, 84.02, 95.16, 85.91
119, 57.22, 84.69, 93.66, 86.13
120, 57.47, 84.47, 93.23, 84.49
121, 58.09, 85.18, 91.68, 85.04
122, 58.47, 85.34, 91.86, 83.56
123, 59.11, 85.42, 93.01, 83.12
124, 58.8, 84.36, 92.3, 82.24
125, 59.37, 83.38, 93.31, 82.31
126, 58.94, 84.5, 94.18, 81.39
127, 59.54, 84.96, 92.69, 82.88
128, 59.61, 84.93, 91.2, 82.41
129, 59.56, 81.76, 91.96, 84.86
130, 59.21, 78.58, 92.89, 83.22
131, 59.15, 75.7, 93.74, 83.85
132, 58.81, 77.05, 93.85, 84.79
133, 58.31, 77.84, 93.3, 82.23
134, 58.6, 80.1, 93.59, 81.74
135, 58.63, 81.82, 92.26, 81.23
136, 58.41, 80.32, 91.02, 84.52
137, 58.39, 77.25, 91.11, 85.88
138, 58.84, 77.7, 93.46, 82.35
139, 58.32, 75.91, 93.42, 83.27
140, 58.52, 74.56, 94.11, 84.37
141, 57.78, 73.61, 93.08, 83.47
142, 58, 73.22, 92.27, 82.28
143, 57.67, 73.41, 91.56, 81.64
144, 57.91, 72.47, 93.64, 82.41
145, 57.71, 72.2, 93.66, 82.76
146, 57.56, 73.76, 92.7, 80.23
147, 57.45, 72.8, 92.22, 79.66
148, 57.11, 73.06, 91.88, 79.17
149, 57.33, 73.13, 91.25, 78.43
150, 57.34, 72.68, 92.42, 79.93
151, 57.23, 72.3, 91.57, 78.81
152, 57.21, 71.65, 91.19, 78.51
153, 57.51, 71.55, 91.13, 79.39
154, 57.54, 71.61, 90.41, 78.89
155, 57.25, 70.82, 91.35, 79.04
156, 57.29, 70.81, 90.16, 78.4
157, 57.5, 70.35, 88.9, 79.06
158, 56.94, 70.05, 89.39, 78.5
159, 57.25, 70.07, 88.11, 77.59
160, 57.48, 69.91, 87.59, 77.8
161, 56.98, 69.76, 86.74, 77.08
162, 56.96, 69.89, 87.99, 78.97
163, 57.27, 69.79, 87.86, 77.97
164, 57.04, 69.32, 87.73, 77.37
165, 57.3, 69.49, 87.76, 77.48
166, 56.9, 69.58, 87.59, 77.22
167, 56.85, 68.9, 87.09, 77.83
168, 57.2, 68.78, 86.63, 78.31
169, 57.23, 68.83, 85.72, 77.71
170, 56.63, 67.87, 86.39, 77.55
171, 57.25, 68.09, 86.53, 77.15
172, 57.1, 68.63, 85.01, 77.72
173, 56.8, 68.58, 85.43, 77.56
174, 56.94, 68.32, 85.43, 78.16
175, 57.3, 68.24, 84.39, 77.81
176, 57.17, 68.3, 84.76, 77.44
177, 56.85, 68.47, 85.01, 77.58
178, 57, 68.17, 85.89, 78.51
179, 57.41, 68.04, 84.62, 78.9
180, 57.21, 68.78, 83.62, 77.77
181, 57.33, 68.16, 84.08, 77.02
182, 57.25, 68.3, 84.15, 78.96
183, 57.49, 68.28, 84.27, 78.8
184, 57.04, 68.48, 84.56, 77.29
185, 56.96, 68.13, 83.93, 77.02
186, 57.3, 68.16, 83.81, 78.35
187, 57.27, 68.03, 83.07, 79.27
188, 57.35, 68.32, 83.6, 77.57
189, 57.29, 68.34, 83.79, 77.94
190, 57.29, 68.05, 83.32, 78.4
