0, 29.5, 29.58, 31.66, 26.68
1, 29.04, 29.79, 31.73, 27.36
2, 29.18, 29.19, 31.65, 27.54
3, 29.35, 29.28, 31.52, 26.81
4, 29.23, 29.49, 31.5, 27.38
5, 29.32, 29.37, 31.57, 26.85
6, 29.27, 29.46, 31.33, 26.88
7, 29.45, 29.37, 30.89, 26.45
8, 29.3, 29.74, 31.36, 26.93
9, 29.06, 29.43, 31.74, 26.96
10, 29.05, 29.25, 31.86, 27.42
11, 29.45, 29.49, 31.88, 26.8
12, 29.29, 29.73, 31.46, 26.96
13, 29.42, 29.88, 32.36, 26.8
14, 29.42, 30.3, 33.9, 27.7
15, 29.62, 30.52, 34.69, 28.83
16, 30.08, 31.12, 35.58, 28.16
17, 29.86, 31.71, 36.5, 28.96
18, 30.13, 31.97, 37.52, 29.86
19, 30.24, 32.06, 38.71, 29.33
20, 30.73, 32.48, 38.88, 30.47
21, 30.87, 32.7, 40.14, 30.64
22, 30.95, 33.28, 41.33, 31.23
23, 31.39, 33.52, 41.98, 31.71
24, 31.29, 33.85, 42.94, 31.6
25, 31.8, 34.17, 44.24, 32.84
26, 31.71, 34.49, 45.11, 32.59
27, 31.84, 34.68, 45.64, 34.02
28, 31.95, 34.94, 46.04, 34.7
29, 32.12, 35.6, 47.5, 34.55
30, 32.52, 35.75, 48.25, 33.96
31, 32.8, 35.98, 49.17, 35.37
32, 32.97, 36.75, 50.21, 35.4
33, 33.34, 37.1, 50.28, 36.27
34, 33.56, 37.21, 50.87, 37.29
35, 33.6, 37.7, 52.26, 37.67
36, 33.97, 38.25, 52.5, 37.85
37, 34.13, 38.31, 53.89, 37.42
38, 34.25, 38.68, 54.37, 37.68
39, 34.72, 39.29, 55.1, 38.26
40, 34.75, 39.52, 55.34, 39.03
41, 34.93, 39.88, 56.69, 38.97
42, 35.23, 40.52, 57.75, 40.39
43, 35.74, 40.79, 58.13, 39.55
44, 35.91, 41.06, 58.61, 40.44
45, 36.27, 41.76, 59.31, 40.52
46, 36.24, 42.08, 60.02, 42.85
47, 36.74, 42.49, 61.52, 41.67
48, 37.01, 42.57, 61.77, 42.57
49, 37.27, 43.17, 62.12, 43.15
50, 37.36, 43.49, 62.72, 43.77
51, 37.78, 43.9, 63.66, 42.99
52, 37.99, 44.11, 64.62, 44.17
53, 38.24, 44.63, 65.39, 44.5
54, 38.48, 45.32, 65.94, 43.98
55, 38.87, 45.65, 67.26, 45.46
56, 39.26, 46.26, 66.84, 45.37
57, 39.54, 46.55, 68.06, 46.95
58, 40.07, 46.7, 69, 47.56
59, 40.26, 47.41, 69.42, 46.72
60, 40.71, 47.8, 70.21, 47.8
61, 40.6, 48.24, 71.1, 49.19
62, 41.05, 48.72, 71.49, 48.5
63, 41.68, 49.06, 72.76, 49.5
64, 41.87, 49.7, 72.97, 49.9
65, 41.76, 50.2, 74.36, 51.29
66, 42.58, 50.41, 74.94, 51.07
67, 42.71, 51.12, 75.69, 50.71
68, 43.08, 51.47, 76.91, 51.2
69, 43.6, 51.99, 76.72, 52.43
70, 43.85, 52.36, 77.98, 52.45
71, 44.2, 52.8, 78.4, 52.81
72, 44.41, 53.25, 79.2, 53.25
73, 45.13, 54.01, 79.81, 53.44
74, 45.18, 54.25, 80.04, 53.51
75, 45.67, 54.82, 81.03, 53.92
76, 46.14, 55.15, 81.71, 54.56
77, 46.53, 56.01, 82.44, 56.65
78, 46.76, 56.23, 83.47, 56.94
79, 47.27, 56.83, 83.47, 56.73
80, 47.62, 57.28, 83.57, 56.06
81, 48.08, 57.61, 84.91, 56.28
82, 48.2, 58.29, 85.24, 57.09
83, 48.36, 58.9, 86.44, 55.99
84, 49.25, 59.29, 86.52, 56.75
85, 49.69, 59.73, 87.66, 57.99
86, 49.78, 60.19, 88.15, 58.28
87, 50.4, 60.79, 88.12, 57.77
88, 50.93, 61.72, 90.45, 58.76
89, 51.34, 61.83, 90.33, 60.23
90, 51.35, 62.41, 90.81, 60.18
91, 52.08, 63.22, 91.32, 59.61
92, 52.2, 63.57, 91.76, 60.92
93, 52.89, 64.24, 92.99, 61.16
94, 53.19, 64.43, 93.64, 60.56
95, 53.82, 65.3, 94.04, 61.55
96, 53.98, 65.48, 94.06, 63.3
97, 54.4, 66.22, 94.63, 62.71
98, 54.99, 66.85, 95.29, 61.76
99, 55.24, 66.85, 95.45, 62.41
100, 55.7, 68.04, 95.94, 63.82
101, 55.92, 68.52, 96.37, 64.32
102, 56.33, 68.85, 96.48, 64.52
103, 57.27, 69.68, 97.53, 64.76
104, 57.66, 70.06, 96.47, 65.62
105, 57.85, 70.55, 96.61, 66.49
106, 58.13, 71.18, 96.85, 66.48
107, 58.59, 71.48, 96.42, 67.11
