0,30.04,30.54,33.01,28.55,,,,,,
1,30.24,30.11,32.31,28.6,,,,,,
2,30.5,30.08,32.73,28.46,,,,,,
3,30.33,30.13,32.73,27.93,,,,,,
4,30.37,30.24,33.02,29.36,,,,,,
5,30.4,29.84,32.5,29.72,,,,,,
6,30.31,29.98,32.58,28.95,,,,,,
7,30.27,30.43,32.61,28.31,,,,,,
8,30.28,30.23,32.73,27.74,,,,,,
9,30.26,29.94,32.65,28.05,,,,,,
10,30.29,29.92,32.53,29.5,,,,,,
11,29.85,30.04,32.28,28.78,,,,,,
12,29.95,30.21,32.89,29.18,,,,,,
13,29.95,30.35,32.95,29.17,,,,,,
14,30.24,30.35,33.17,29,,,,,,
15,30.53,30.3,34.26,30.08,,,,,,
16,30.48,30.49,34.9,30.35,,,,,,
17,30.33,30.61,35.43,31.68,,,,,,
18,30.66,30.7,36.14,31.71,,,,,,
19,30.9,31.07,36.93,31.55,,,,,,
20,30.96,31,37.67,32.29,,,,,,
21,30.8,31.21,38.11,33.38,,,,,,
22,30.88,31.58,38.34,33.25,,,,,,
23,31.2,31.53,39.41,33.3,,,,,,
24,31.15,32.07,39.91,34.14,,,,,,
25,31.42,32.01,40.41,33.62,,,,,,
26,31.3,32.24,40.91,33.99,,,,,,
27,31.54,32.37,42.13,34.81,,,,,,
28,31.65,32.77,42.46,35.59,,,,,,
29,31.92,32.85,42.72,36.65,,,,,,
30,31.95,33.24,43.28,36.69,,,,,,
31,31.95,33.49,44.42,36.32,,,,,,
32,32.05,34.18,44.86,38.31,,,,,,Tiempo en llegar a convergencia
33,32,33.94,45.5,37.94,,26.4,Primer sensor más bajo,,,Más bajo
34,31.99,34.07,46.07,37.76,,19.8,Segundo sensor medio bajo,,,Medio bajo
35,32.26,34.51,46.87,38.9,,13.2,Tercer sensor más alto,,,Más alto
36,32.74,34.92,47.41,38.85,,6.6,Cuarto sensor medio alto,,,Medio alto
37,32.99,35.22,47.57,39.7,,,,,,
38,32.92,35.44,48.09,40.15,,,,,,
39,33.15,35.64,49.24,40.49,,,,,,
40,33.29,36,49.48,40.35,,,,,,
41,33,36.48,50.03,41.68,,,,,,
42,33.65,36.27,51.16,42.51,,,,,,
43,33.9,37.08,51.61,43.32,,,,,,
44,33.8,37.51,52.13,42.19,,,,,,
45,33.77,37.55,52.92,42.03,,,,,,
46,34.19,38.15,53.26,43.27,,,,,,
47,34.32,38.15,54.47,43.55,,,,,,
48,34.56,38.37,54.69,43.95,,,,,,
49,34.59,38.74,55.7,44.48,,,,,,
50,35.02,39.23,55.85,44.82,,,,,,
51,34.9,39.77,56.55,45.57,,,,,,
52,34.78,39.92,57.31,45.91,,,,,,
