"Tipo","Antenas","Caso","Potencia","Tmax","Ruta"
"Monopolo","1","4","10","106.9619","Monopolo\1ant\Caso_4\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Monopolo","1","4","15","111.3143","Monopolo\1ant\Caso_4\Potencia_15W\Registro_Sondas_Temperatura.txt"
"Monopolo","1","4","20","110.4287","Monopolo\1ant\Caso_4\Potencia_20W\Registro_Sondas_Temperatura.txt"
"Monopolo","1","4","25","106.149","Monopolo\1ant\Caso_4\Potencia_25W\Registro_Sondas_Temperatura.txt"
"Monopolo","1","4","30","106.8984","Monopolo\1ant\Caso_4\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","1","4","35","106.8067","Monopolo\1ant\Caso_4\Potencia_35W\Registro_Sondas_Temperatura.txt"
"Monopolo","1","4","40","105.9409","Monopolo\1ant\Caso_4\Potencia_40W\Registro_Sondas_Temperatura.txt"
"Monopolo","1","4","45","105.8527","Monopolo\1ant\Caso_4\Potencia_45W\Registro_Sondas_Temperatura.txt"
"Monopolo","1","4","50","106.9704","Monopolo\1ant\Caso_4\Potencia_50W\Registro_Sondas_Temperatura.txt"
"Monopolo","1","4","55","105.5647","Monopolo\1ant\Caso_4\Potencia_55W\Registro_Sondas_Temperatura.txt"
"Monopolo","1","4","5","110.6311","Monopolo\1ant\Caso_4\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Monopolo","1","4","60","106.7173","Monopolo\1ant\Caso_4\Potencia_60W\Registro_Sondas_Temperatura.txt"
"Monopolo","1","4","65","106.0022","Monopolo\1ant\Caso_4\Potencia_65W\Registro_Sondas_Temperatura.txt"
"Monopolo","1","4","70","106.4599","Monopolo\1ant\Caso_4\Potencia_70W\Registro_Sondas_Temperatura.txt"
"Monopolo","1","4","75","108.8163","Monopolo\1ant\Caso_4\Potencia_75W\Registro_Sondas_Temperatura.txt"
"Monopolo","1","4","80","104.8894","Monopolo\1ant\Caso_4\Potencia_80W\Registro_Sondas_Temperatura.txt"
"Monopolo","1","4","85","112.3366","Monopolo\1ant\Caso_4\Potencia_85W\Registro_Sondas_Temperatura.txt"
"Monopolo","1","5","30","119.914","Monopolo\1ant\Caso_5\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","1","6","30","106.3828","Monopolo\1ant\Caso_6\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","1","7","30","109.8319","Monopolo\1ant\Caso_7\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","1","8","30","105.7813","Monopolo\1ant\Caso_8\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","2","0","30","327.7336","Monopolo\2ant\Caso_0\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","2","1","30","104.8707","Monopolo\2ant\Caso_1\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","2","2","30","105.1066","Monopolo\2ant\Caso_2\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Monopolo","2","3","10","109.2978","Monopolo\2ant\Caso_3\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Monopolo","2","3","15","109.9759","Monopolo\2ant\Caso_3\Potencia_15W\Registro_Sondas_Temperatura.txt"
"Monopolo","2","3","30","105.9413","Monopolo\2ant\Caso_3\Potencia_30W\Registro_Sondas_Temperatura.txt"
