ruta,fuente,modelo,dataset,partition_key,fuentes_equivalentes,tipo,antena,num_antenas,caso,potencia_W,dataset_corregido,tag_correccion
"/mnt/personal/TT_FINAL/DATASETS/datasets_corregidos_por_metadata/Monopolo/1ant/Caso_0/Potencia_30W/1ant.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/1ant/Caso_0/Potencia_30W/modelo_Monopolo_1ant_dset_c0_p30.mat","modelo_Monopolo_1ant","dset_c0_p30","modelo_Monopolo_1ant__dset_c0_p30","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/1ant/Caso_0/Potencia_30W/modelo_Monopolo_1ant_dset_c0_p30.mat","Monopolo","1ant",1,0,30,1,"1ant_30w"
"/mnt/personal/TT_FINAL/DATASETS/datasets_corregidos_por_metadata/Monopolo/2ant/Caso_0/Potencia_30W/2ant.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/2ant/Caso_0/Potencia_30W/modelo_Monopolo_2ant_dset_c0_p30.mat","modelo_Monopolo_2ant","dset_c0_p30","modelo_Monopolo_2ant__dset_c0_p30","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/2ant/Caso_0/Potencia_30W/modelo_Monopolo_2ant_dset_c0_p30.mat","Monopolo","2ant",2,0,30,1,"2ant_30w"
"/mnt/personal/TT_FINAL/DATASETS/datasets_corregidos_por_metadata/Monopolo/4ant/Caso_0/Potencia_30W/4ant.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/4ant/Caso_0/Potencia_30W/modelo_Monopolo_4ant_dset_c0_p30.mat","modelo_Monopolo_4ant","dset_c0_p30","modelo_Monopolo_4ant__dset_c0_p30","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/4ant/Caso_0/Potencia_30W/modelo_Monopolo_4ant_dset_c0_p30.mat","Monopolo","4ant",4,0,30,1,"4ant_30w"
"/mnt/personal/TT_FINAL/DATASETS/datasets_corregidos_por_metadata/Monopolo/3ant/Caso_0/Potencia_30W/3ant.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/3ant/Caso_0/Potencia_30W/modelo_Monopolo_3ant_dset_c0_p30.mat","modelo_Monopolo_3ant","dset_c0_p30","modelo_Monopolo_3ant__dset_c0_p30","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/3ant/Caso_0/Potencia_30W/modelo_Monopolo_3ant_dset_c0_p30.mat","Monopolo","3ant",3,0,30,1,"3ant_30w"
