0,36,36.41,39.18,31.95,,,,,,
1,36.35,36.37,38.89,32.38,,,,,,
2,36.02,36.26,39.21,32.63,,,,,,
3,36.14,36.51,38.67,33.61,,,,,,
4,36.14,36.67,39.18,33.35,,,,,,
5,36.13,36.1,39.54,33.32,,,,,,
6,35.94,36.56,39.18,33.28,,,,,,
7,35.89,36.37,39.7,33.61,,,,,,
8,35.88,36.39,39.05,33.3,,,,,,
9,36.16,36.4,39.61,32.95,,,,,,
10,36.14,36.1,39.63,32.86,,,,,,
11,35.78,36.31,39.22,33.23,,,,,,
12,36.12,36.36,39.22,32.83,,,,,,
13,35.94,36.7,38.98,33.39,,,,,,
14,35.81,36.49,39.19,33.45,,,,,,
15,35.92,36.2,39.41,33.54,,,,,,
16,36.16,36.53,39.35,33.64,,,,,,
17,36.05,36.37,39.88,33.43,,,,,,
18,36.08,36.39,39.43,34.13,,,,,,
19,35.94,36.51,38.85,33.25,,,,,,
20,35.88,36.67,39.2,33.04,,,,,,
21,35.75,36.25,38.8,32.5,,,,,,
22,36.08,36.58,39.65,34.3,,,,,,
23,35.95,36.3,39.3,34.23,,,,,,
24,35.84,36.23,38.94,34.19,,,,,,
25,35.87,36.34,39.11,33.77,,,,,,
26,35.83,36.22,38.2,33.45,,,,,,
27,35.94,36.28,39.13,33.48,,,,,,
28,36.03,36.61,39.11,34.15,,,,,,
29,35.92,35.97,39.06,33.71,,,,,,
30,35.93,36.38,39.23,32.73,,,,,,
31,35.88,36.24,38.67,33.12,,,,,,
32,35.75,36.56,39.49,33.58,,,,,,
33,36.16,36.25,38.63,32.53,,,,,,
34,35.89,36.43,38.96,34.05,,,,,,Tiempo en llegar a convergencia
35,35.74,36.15,38.94,33.05,,26.4,Primer sensor medio bajo,,,Mas bajo
36,35.84,36.34,39.39,33.77,,19.8,Segundo sensor medio alto,,,Medio alto
37,35.92,36.08,38.93,33.12,,13.2,Tercer sensor más alto,,,Más alto
38,35.98,36.15,39.24,32.89,,6.6,Cuarto sensor más bajo,,,Medio bajo
39,35.72,36.2,39.04,32.91,,,,,,
40,35.85,36.38,39.26,33.32,,,,,,
41,35.92,36.27,39.32,32.9,,,,,,
42,35.83,36.03,39.72,33.06,,,,,,
43,35.65,36.1,38.78,32.88,,,,,,
44,36.08,35.98,38.22,33.23,,,,,,
45,35.63,36.2,38.86,32.78,,,,,,
46,36.05,36.24,39.16,33.9,,,,,,
47,36.05,36.6,39.22,34.2,,,,,,
48,35.97,36.62,40.09,34.3,,,,,,
49,36.59,36.99,39.53,34.92,,,,,,
50,36.7,37.24,39.89,35.29,,,,,,
51,36.4,37.49,40.76,35.04,,,,,,
52,36.79,37.57,40.91,36.3,,,,,,
53,36.68,37.93,40.65,36.76,,,,,,
54,37.09,38.29,42.02,36.3,,,,,,
55,37.3,38.22,41.32,37.57,,,,,,
56,37.48,38.9,41.6,38.34,,,,,,
57,37.39,38.98,41.91,37.88,,,,,,
58,37.73,39.33,42.49,39.07,,,,,,
59,38.49,39.98,43.12,38.36,,,,,,
60,38.14,40.25,43.57,39.04,,,,,,
61,38.29,40.63,43.22,39.93,,,,,,
62,38.84,40.95,43.69,41.12,,,,,,
63,38.7,41.26,44.33,40.55,,,,,,
64,38.99,41.65,44.57,40.05,,,,,,
65,39.01,42.12,44.9,39.71,,,,,,
66,39.27,42.32,45.39,41.07,,,,,,
67,39.57,42.81,45.74,42.19,,,,,,
68,39.77,42.8,46.5,41.83,,,,,,
69,40.13,43.44,47.12,42.62,,,,,,
70,40.31,43.87,47.66,42.61,,,,,,
71,40.75,44.23,47.92,43.24,,,,,,
72,40.83,44.82,48.41,43.41,,,,,,
73,41.11,44.98,48.85,44.03,,,,,,
74,41.21,45.53,48.9,43.37,,,,,,
75,41.69,45.98,50.11,43.66,,,,,,
76,41.62,46.35,50.48,44.3,,,,,,
77,41.87,46.65,51.2,44.89,,,,,,
78,42.23,47.24,51.94,45.6,,,,,,
79,42.32,47.45,51.8,44.91,,,,,,
80,42.95,48.28,52.32,46.15,,,,,,
81,43.29,48.5,53.8,46.65,,,,,,
82,43.47,48.81,54.33,47.64,,,,,,
83,44,49.69,54.7,47.65,,,,,,
84,44.2,49.72,55.11,46.87,,,,,,
85,44.67,50.35,55.86,47.86,,,,,,
86,44.73,50.96,56.65,48.85,,,,,,
87,45.07,51.27,56.88,48.46,,,,,,
88,45.62,52.15,57.34,48.72,,,,,,
89,46.14,52.27,58.5,49.04,,,,,,
90,46.31,52.91,59.29,48.24,,,,,,
91,46.83,53.74,60.03,50.86,,,,,,
92,46.82,54.1,60.92,50.13,,,,,,
93,47.48,54.48,60.39,50.32,,,,,,
94,47.65,55.48,62.5,50.5,,,,,,
95,48.03,55.99,62.7,51.74,,,,,,
96,48.4,56.59,63.56,51.94,,,,,,
97,48.54,57.1,64.33,52.22,,,,,,
98,49.23,57.77,64.72,53.29,,,,,,
99,49.51,58.68,65.81,52.86,,,,,,
100,49.82,59.1,66.5,52.48,,,,,,
101,50.27,59.7,67.77,53.84,,,,,,
102,50.77,60.42,67.94,53.85,,,,,,
103,51.18,60.99,69.17,54.91,,,,,,
104,51.59,61.27,69.38,54.77,,,,,,
105,52.23,62.38,70.52,54.82,,,,,,
106,52.61,63.09,71.13,56.03,,,,,,
107,52.91,63.7,72.36,56.38,,,,,,
108,53.44,64.59,72.26,56.2,,,,,,
109,53.82,65.33,73.71,57.12,,,,,,
110,54.24,66.28,74.71,58.9,,,,,,
111,55.09,67.11,75.41,57.92,,,,,,
112,55.58,67.51,76.46,57.29,,,,,,
113,55.98,68.02,77.09,58.73,,,,,,
114,56.32,69.08,77.91,59.53,,,,,,
115,57.08,69.63,79.42,59.62,,,,,,
116,57.4,70.44,80.36,58.81,,,,,,
117,57.86,70.93,81.13,60.29,,,,,,
118,58.82,72.23,82.05,59.61,,,,,,
119,59.01,72.71,82.59,61.2,,,,,,
120,59.96,73.67,84.43,62.06,,,,,,
