ruta,fuente,modelo,dataset,partition_key,fuentes_equivalentes,tipo,antena,num_antenas,caso,potencia_W
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Doble_slot/4ant/Caso_8/Potencia_15W/modelo_Doble_slot_4ant_dset_c8_p15.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo6.mat","modelo_Doble_slot_4ant","dset_c8_p15","modelo_Doble_slot_4ant__dset_c8_p15","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo6.mat","Doble_slot","4ant",4,8,15
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Doble_slot/4ant/Caso_8/Potencia_20W/modelo_Doble_slot_4ant_dset_c8_p20.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo6.mat","modelo_Doble_slot_4ant","dset_c8_p20","modelo_Doble_slot_4ant__dset_c8_p20","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo6.mat","Doble_slot","4ant",4,8,20
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Doble_slot/4ant/Caso_8/Potencia_25W/modelo_Doble_slot_4ant_dset_c8_p25.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo6.mat","modelo_Doble_slot_4ant","dset_c8_p25","modelo_Doble_slot_4ant__dset_c8_p25","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo6.mat","Doble_slot","4ant",4,8,25
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Doble_slot/4ant/Caso_8/Potencia_5W/modelo_Doble_slot_4ant_dset_c8_p5.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo6.mat","modelo_Doble_slot_4ant","dset_c8_p5","modelo_Doble_slot_4ant__dset_c8_p5","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo6.mat","Doble_slot","4ant",4,8,5
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/1ant/Caso_0/Potencia_10W/modelo_Monopolo_1ant_dset_c0_p10.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","modelo_Monopolo_1ant","dset_c0_p10","modelo_Monopolo_1ant__dset_c0_p10","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","Monopolo","1ant",1,0,10
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/1ant/Caso_0/Potencia_15W/modelo_Monopolo_1ant_dset_c0_p15.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","modelo_Monopolo_1ant","dset_c0_p15","modelo_Monopolo_1ant__dset_c0_p15","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","Monopolo","1ant",1,0,15
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/1ant/Caso_0/Potencia_30W/modelo_Monopolo_1ant_dset_c0_p30.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo1.mat","modelo_Monopolo_1ant","dset_c0_p30","modelo_Monopolo_1ant__dset_c0_p30","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo1.mat","Monopolo","1ant",1,0,30
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/1ant/Caso_0/Potencia_5W/modelo_Monopolo_1ant_dset_c0_p5.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","modelo_Monopolo_1ant","dset_c0_p5","modelo_Monopolo_1ant__dset_c0_p5","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","Monopolo","1ant",1,0,5
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/1ant/Caso_1/Potencia_10W/modelo_Monopolo_1ant_dset_c1_p10.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","modelo_Monopolo_1ant","dset_c1_p10","modelo_Monopolo_1ant__dset_c1_p10","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","Monopolo","1ant",1,1,10
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Monopolo/1ant/Caso_1/Potencia_15W/modelo_Monopolo_1ant_dset_c1_p15.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","modelo_Monopolo_1ant","dset_c1_p15","modelo_Monopolo_1ant__dset_c1_p15","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","Monopolo","1ant",1,1,15
